name,stars,coordinates,slug,cover,url
Akira Ramen,🍥🍥🍥🍥🍥,-8.092373033991224|-34.88358193700426,akira-ramen,images/akira.jpg,akira-ramen.html
Nirá Izakaya,🍥🍥🍥🍥🍥,-8.054305380306374|-34.879413240127974,nira-izakaya,images/nira.jpg,nira-izakaya.html
Udon,🍥🍥🍥🍥,-8.028823539936623|-34.919408423522825,udon,images/udon.jpg,udon.html
Jirô,🍥🍥🍥🍥,-8.037933295304251|-34.902218178134355,jiro,images/jiro.jpg,jiro.html
Burgogui,🍥🍥🍥🍥🍥,-8.032189589676937|-34.921653617709595,burgogui,images/burgogui.jpg,burgogui.html
Yinkesong,🍥🍥🍥,-8.086026585916267|-34.88926892688845,yinkesong,images/yinkesong.png,yinkesong.html
